State,Coastline_NOAA
 Alaska,33904  
 Florida,8436  
 California,3427  
 Hawaii,1052  
 Louisiana,7721  
 Texas,3359  
 North Carolina,3375  
 Oregon,1410  
 Maine,3478  
 Massachusetts,1519  
 South Carolina,2876  
 Washington,3026  
 New Jersey,1792  
 New York,2625  
 Virginia,3315  
 Georgia,2344  
 Connecticut,618  
 Alabama,607  
 ssissippi,359  
 Rhode Island,384  
 Maryland,3190  
 Delaware,381  
 New Hampshire,131  
 chigan,3224  
 Wisconsin,820  
 Ohio,312  
 nnesota,189  
 Pennsylvania,140  
 Illinois,63  
 Indiana,45  
