CaseNumber,temp
1981.02.02,28.9338813
1981.03.25,28.9338813
1981.03.24,28.9338813
1986.10.03,28.81874919
1986.12.11,25.60949094
1986.12.06.a,13.12747216
1987.07.21,29.3307903
1987.07.12.b,29.80262161
1987.07.12.a,29.80262161
1987.08.20,28.54099939
1987.08.15,26.57979217
1987.10.26,20.31585442
1987.12.17,27.20645669
1988.06.09,29.39312446
1988.06.01,28.83667488
1988.08.11,25.96274232
1988.09.28,28.56005591
1988.09.13.a,28.18064936
1988.10.23,17.70297257
1988.10.11,28.51730999
1988.10.10,28.53057932
1989.01.26.b,18.98215597
1989.01.26.a,18.98215597
1989.09.13,28.10119942
1989.09.09.b,26.54013548
1989.10.11,28.67166274
1989.10.08,28.33299271
1990.08.28,23.82133277
1990.09.08,23.10227675
1990.09.05,22.87710425
1990.10.30.b,28.32565935
1990.10.20,28.23357975
1990.10.15,25.31286018
1990.10.12,28.2562281
1990.11.01,27.99562754
1991.02.24,5.585315189
1991.04.16.a,26.08875646
1991.05.26,18.59668592
1991.06.07.b,29.86999893
1991.07.01.a,24.85549161
1991.08.26,27.97036815
1991.08.12,28.0501694
1991.10.12,29.25023935
1991.10.05,22.57606173
1991.11.26.b,24.55046463
1991.12.04,14.70364783
1992.03.28,15.62959459
1992.03.08.a,5.723792966
1992.07.21,28.53999901
1992.08.18,23.73676138
1992.09.13,22.99679338
1992.10.29,21.69857107
1992.10.22,25.06710002
1992.11.29,25.48686333
1992.11.25.a,27.51987574
1992.11.14,16.22714986
1992.11.11,23.1856293
1992.11.05.a,23.67644913
1992.12.28,21.45345575
1992.12.23,21.31745515
1993.01.02,8.825086007
1993.03.14,17.66627871
1993.03.12,8.128393586
1993.06.10,21.91449654
1993.07.07,29.05183446
1993.08.15.a,27.99500553
1993.08.12,25.78179094
1993.10.30,19.71650382
1993.10.26,28.70084949
1993.10.10,20.30669921
1994.02.19,23.91545174
1994.05.31.a,29.08239296
1994.05.15,28.71327617
1994.07.08.a,28.85115754
1994.09.21,21.48995448
1994.09.05,28.22390574
1994.10.08,28.53691604
1994.11.13,24.12024791
1994.12.09.a,15.0571428
1995.06.30,21.59802143
1995.06.17.a,28.99939656
1995.06.16,28.99939656
1995.06.14,22.19302271
1995.08.26/b,28.35425468
