CaseNumber,activity_cat
2016.03.10,dive
2016.03.03.R,fish
2016.03.02,swim
2016.02.22,windboard
2016.02.19,spearfish
2016.02.12,wade
2016.02.10.R,feed
2016.02.10,surf
2016.02.05,walk
2016.02.04,windboard
2016.01.29,fish
2016.01.28,surf
2016.01.25,surf
2016.01.24.b,spearfish
2016.01.24.a,fish
2016.01.23,paddleboard
2016.01.05,wade
2016.01.02,spearfish
2015.12.26,fish
2015.12.25,swim
2015.12.22,paddleboard
2015.12.21.b,surf
2015.12.21.a,scubadiv
2015.12.19,NA
2015.12.13,fish
2015.12.11,fish
2015.12.08,NA
2015.11.20,snorkel
2015.11.16,surf
2015.11.15.b,swim
2015.11.15.a,surf
2015.11.10,surf
2015.12.23,surf
2015.11.03,swim
2015.11.01.b,wade
2015.11.01.a,fish
2015.10.30,spearfish
2015.10.28.a,boogieboard
2015.10.25,surf
2015.10.21,surf
2015.10.19,surf
2015.10.17.c,fish
2015.10.17.b,surf
2015.10.17.a,swim
2015.10.13,fish
2015.10.09.b,boogieboard
2015.10.09.a,surf
2015.10.08,fish
2015.10.07,surf
2015.10.05.b,boogieboard
2015.10.05.a,wade
2015.10.04,surf
2015.09.29,surf
2015.09.26,snorkel
2015.09.24,fish
2015.09.20.d,surf
2015.09.20.c,spearfish
2015.09.20.b,wade
2015.09.20.a,NA
2015.09.18,swim
2015.09.17,surf
2015.09.08,surf
2015.09.06,stand
2015.09.05,fish
2015.09.04,kayak
2015.09.01,wade
2015.09.00,spearfish
2015.08.29.b,surf
2015.08.29.a,surf
2015.08.22.a,surf
2015.08.20,surf
2015.08.19,walk
2015.08.18.b,fish
2015.08.18.a,swim
2015.08.10,spearfish
2015.07.31,surf
2015.07.26.b,surf
2015.07.26.a,float
2015.07.25,dive
2015.07.23.b,fish
2015.07.23.a,surf
2015.07.22,surf
2015.07.19,surf
2015.07-10,surf
2015.07.08,tread
2015.07.06,swim
2015.07.04.b,spearfish
2015.07.03,surf
2015.07.02,boogieboard
2015.07.01,swim
2015.06.30.b,surf
2015.06.30.a,play
2015.06.27.b,swim
2015.06.27.a,boogieboard
2015.06.26.c,swim
2015.06.26.b,surf
2015.06.26.a,stand
2015.06.25.R,swim
2015.06.25,bodysurf
2015.06.24.b,swim
2015.06.24.a,surf
2015.06.23,stand
2015.06.19,spearfish
2015.06.17,swim
2015.06.14.b,wade
2015.06.14.a,wade
2015.06.11,boogieboard
2015.06.07,play
2015.06.05,rescu
2015.06.01,surf
2015.05.29.b,stand
2015.05.29.a,wade
2015.05.25,spearfish
2015.05.20,surf
2015.05.24,swim
2015.05.09,snorkel
2015.05.07,swim
2015.05.03,surf
2015.05.02,dive
2015.04.29,snorkel
2015.04.26,wade
2015.04.25,surf
2015.04.24.c,kayak
2015.04.13,NA
2015.04.12,surf
2015.04.11,paddleboard
2015.04.03,spearfish
2015.03.31,surf
2015.03.29,dive
2015.03.26,fish
2015.03.21,swim
2015.03.18,stand
2015.03.16,feed
2015.03.11,fish
2015.03.10,fish
2015.03.07,sit
2015.02.15,row
2015.02.14,swim
2015.02.09,surf
2015.02.08,surf
2015.02.05,bodysurf
2015.01.30,row
2015.01.27,fish
2015.01.24,surf
2015.01.19.b,fish
2015.01.19.a,surf
2015.01.17,fish
2015.01.16,film
2015.01.08,NA
2015.01.06,snorkel
2015.01.03,surf
2014.12.29.a,spearfish
2014.12.29.b,surf
2014.12.28.d,NA
2014.12.28.c,swim
2014.12.28.b,surf
2014.12.28.a,fish
2014.12.23.R,dive
2014.12.15,spearfish
2014.12.03.R,fish
2014.11.29,surf
2014.11.20,fish
2014.11.19,fish
2014.11.16,surf
2014.11.10,surf
2014.11.13,snorkel
2014.11.08,surf
2014.10.31,surf
2014.10.30,surf
2014.10.22,stand
2014.10.20,stand
2014.10.19,kayak
2014.10.18,surf
2014.10.17,surf
2014.10.14,stand
2014.10.12,boogieboard
2014.10.11,kayak
2014.10.07,fish
2014.10.05.b,surf
2014.10.05.a,surf
2014.10.03.b,kayak
2014.10.03.a,kayak
2014.10.02.b,surf
2014.10.02.a,surf
2014.09.21,surf
2014.09.13.R,feed
2014.09.13,surf
2014.09.09,swim
2014.09.06,fish
2014.09.03,kayak
2014.09.02,fish
2014.09.00,play
2014.08.31,bodysurf
2014.08.29.b,surf
2014.08.28,fish
2014.08.27.c,swim
2014.08.27.b,surf
2014.08.27.a,stand
2014.08.25,fish
2014.08.24,windboard
2014.08.16,spearfish
2014.08.12,stand
2014.08.09.R,spearfish
