CaseNumber,species_cat
2016.03.03.R,NA
2016.03.02,sand tiger
2016.02.10.R,no shark
2016.02.10,NA
2016.01.28,reef
2016.01.24.b,bull
2016.01.24.a,mako
2016.01.23,tiger
2016.01.05,blacktip
2016.01.02,NA
2015.12.26,white
2015.12.25,silky
2015.12.22,NA
2015.12.21.b,bronze whaler
2015.12.21.a,tiger
2015.12.13,white
2015.12.11,bull
2015.11.20,galapagos
2015.11.15.a,spinner
2015.11.10,bull
2015.12.23,NA
2015.11.01.b,NA
2015.10.25,white
2015.10.21,NA
2015.10.19,spinner
2015.10.17.b,no shark
2015.10.17.a,tiger
2015.10.13,NA
2015.10.09.a,tiger
2015.10.05.a,NA
2015.10.04,blacktip
2015.09.29,blacktip
2015.09.24,white
2015.09.20.d,NA
2015.09.20.c,tiger
2015.09.20.b,NA
2015.09.08,NA
2015.09.06,white
2015.09.05,hammerhead
2015.09.04,white
2015.09.03,NA
2015.09.01,NA
2015.09.00,tiger
2015.08.29.b,white
2015.08.29.a,white
2015.08.22.b,NA
2015.08.20,NA
2015.08.19,NA
2015.08.18.b,white
2015.08.18.a,NA
2015.08.10,hammerhead
2015.07.31,white
2015.07.26.b,spinner
2015.07.26.a,NA
2015.07.25,white
2015.07.23.b,mako
2015.07.23.a,bronze whaler
2015.07.22,bull
2015.07.19,white
2015.07-10,white
2015.07.08,NA
2015.07.06,no shark
2015.07.04.b,NA
2015.07.03,white
2015.07.02,white
2015.07.01,NA
2015.06.30.a,NA
2015.06.27.b,bull
2015.06.27.a,white
2015.06.26.c,NA
2015.06.26.b,white
2015.06.26.a,NA
2015.06.25.R,wobbegong
2015.06.24.b,sand tiger
2015.06.24.a,NA
2015.06.23,NA
2015.06.14.b,bull
2015.06.14.a,bull
2015.06.13,mako
2015.06.11,NA
2015.06.07,bull
2015.06.05,nurse
2015.06.01,bull
2015.05.25,NA
2015.05.20,NA
2015.05.09,bull
2015.05.15,NA
2015.05.03,white
2015.05.02,white
2015.04.26,NA
2015.04.25,white
2015.04.24.c,white
2015.04.13,blue
2015.04.12,bull
2015.04.03,bull
2015.03.31,no shark
2015.03.29,NA
2015.03.26,white
2015.03.21,mako
2015.03.18,tiger
2015.03.16,blacktip
2015.03.07,blacktip reef
2015.02.15,white
2015.02.14,tiger
2015.02.09,NA
2015.02.08,NA
2015.02.05,NA
2015.01.30,bull
2015.01.27,NA
2015.01.19.b,white
2015.01.19.a,NA
2015.01.17,NA
2015.01.16,NA
2015.01.08,no shark
2015.01.06,white
2015.01.03,raggedtooth
2015.01.01,NA
2014.12.29.a,white
2014.12.29.b,NA
2014.12.28.d,NA
2014.12.28.c,NA
2014.12.28.b,white
2014.12.28.a,NA
2014.12.23.R,goblin
2014.11.19,white
2014.11.17,white
2014.11.16,NA
2014.11.13,NA
2014.10.31,tiger
2014.10.22,tiger
2014.10.18,NA
2014.10.17,NA
2014.10.14,bull
2014.10.05.b,blacktip
2014.10.05.a,blacktip
2014.10.03.b,white
2014.10.03.a,white
2014.10.02.b,NA
2014.10.02.a,white
2014.09.13.R,blacktip
2014.09.13,no shark
2014.09.09,NA
2014.09.06,bull
2014.09.03,white
2014.09.02,NA
2014.08.31,spinner
2014.08.29.b,spinner
2014.08.29.a,NA
2014.08.27.c,NA
2014.08.27.b,NA
2014.08.25,bull
2014.08.24,NA
2014.08.16,reef
2014.08.12,bull
2014.08.09.R,bull
2014.08.08,bull
2014.08.06,NA
2014.08.01,white
2014.08.00,NA
2014.07.27,tiger
2014.07.22,NA
2014.07.20,angel
2014.07.16,NA
2014.07.14,NA
2014.07.13,NA
2014.07.05.b,white
2014.07.03,NA
2014.06.27.R,oceanic whitetip
